site_domain,url,tier1_outcome,tier2_outcome,tier3_outcome,required_tier,verdict,syndication_family
apartments.com,https://www.apartments.com/detroit-mi/,blocked,blocked,success,3,tier3_ok,costar
zillow.com,https://www.zillow.com/detroit-mi/rentals/,blocked,blocked,success,3,tier3_ok,zillow
rent.com,https://www.rent.com/michigan/detroit-apartments,success,,,1,tier1_ok,rent_group
apartmentguide.com,https://www.apartmentguide.com/apartments/Michigan/Detroit/,success,,,1,tier1_ok,rent_group
zumper.com,https://www.zumper.com/apartments-for-rent/detroit-mi,shell,success,,2,tier2_ok,zumper
padmapper.com,https://www.padmapper.com/apartments-for-rent/detroit-mi,shell,success,,2,tier2_ok,zumper
forrent.com,https://www.forrent.com/find/MI/metro-Detroit/Detroit,blocked,blocked,success,3,tier3_ok,costar
realtor.com,https://www.realtor.com/apartments/Detroit_MI,blocked,blocked,success,3,tier3_ok,realtor
hotpads.com,https://hotpads.com/detroit-mi/apartments-for-rent,blocked,success,,2,tier2_ok,zillow
trulia.com,"https://www.trulia.com/for_rent/Detroit,MI/",blocked,blocked,success,3,tier3_ok,zillow
apartmentlist.com,https://www.apartmentlist.com/mi/detroit,success,,,1,tier1_ok,apartmentlist
apartmentfinder.com,https://www.apartmentfinder.com/Michigan/Detroit-Apartments,blocked,blocked,success,3,tier3_ok,costar
rentable.co,https://www.rentable.co/detroit-mi,success,,,1,tier1_ok,rentable
rentcafe.com,https://www.rentcafe.com/apartments-for-rent/detroit-mi/,blocked,success,,2,tier2_ok,rentcafe
renthop.com,https://www.renthop.com/apartments-for-rent/detroit-mi,blocked,success,,2,tier2_ok,renthop
rentberry.com,https://rentberry.com/apartments/s/detroit-mi?mapView=true,success,,,1,tier1_ok,rentberry
redfin.com,https://www.redfin.com/city/5665/MI/Detroit/rentals,success,,,1,tier1_ok,redfin
